# ----------------------------------------,,
# Desktop,,
# Top Conversion Paths,,
# 20140601-20150121,,
# ----------------------------------------,,
,,
MCF Channel Grouping Path,Conversions,Conversion Value
Direct > Direct,"244,731","$24,052,377.00 "
Paid Search > Paid Search,"192,256","$17,223,644.79 "
Paid Search > Direct,"140,966","$14,045,121.43 "
Direct > Direct > Direct,"115,517","$11,801,912.30 "
Paid Search > Paid Search > Paid Search,"67,234","$6,129,834.21 "
Organic Search > Direct,"64,734","$6,228,525.44 "
Direct > Direct > Direct > Direct,"61,962","$6,410,101.24 "
Direct > Other Advertising,"46,394","$4,466,888.96 "
Paid Search > Organic Search,"45,307","$4,010,011.26 "
Direct > Paid Search,"43,779","$4,049,165.56 "
Paid Search > Direct > Direct,"42,919","$4,587,152.23 "
Paid Search > Other Advertising,"36,966","$3,300,412.59 "
Direct > Direct > Direct > Direct > Direct,"36,456","$3,791,818.58 "
Email > Direct,"34,833","$3,375,892.72 "
Email > Email,"31,103","$2,747,091.96 "
Paid Search > Paid Search > Direct,"30,673","$3,053,222.78 "
Organic Search > Paid Search,"28,383","$2,527,540.23 "
Paid Search > Paid Search > Paid Search > Paid Search,"27,465","$2,534,488.30 "
Organic Search > Organic Search,"25,054","$2,230,279.86 "
Direct > Direct > Direct > Direct > Direct > Direct,"22,851","$2,386,300.50 "
Organic Search > Direct > Direct,"21,866","$2,275,597.26 "
Direct > Organic Search,"21,600","$1,966,050.08 "
Direct > Referral,"19,132","$1,926,669.73 "
Organic Search > Other Advertising,"17,685","$1,566,959.17 "
Paid Search > Referral,"17,589","$1,744,427.79 "
Paid Search > Direct > Paid Search,"17,374","$1,734,630.00 "
Other Advertising > Other Advertising,"16,980","$1,568,497.26 "
Paid Search > Direct > Direct > Direct,"16,458","$1,848,350.55 "
Direct > Email,"15,885","$1,478,721.16 "
Paid Search > Display,"15,203","$1,310,770.27 "
Other Advertising > Direct,"14,730","$1,468,444.12 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct,"14,329","$1,554,333.76 "
Direct > Paid Search > Direct,"12,904","$1,292,993.99 "
Direct > Direct > Other Advertising,"12,871","$1,275,332.20 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,"12,189","$1,134,072.62 "
Email > Email > Email,"10,238","$893,643.56 "
Direct > Display,"10,218","$910,702.06 "
Paid Search > Email,"10,212","$921,849.60 "
Paid Search > Paid Search > Organic Search,"9,672","$848,184.62 "
Email > Direct > Direct,"9,113","$956,736.59 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,"8,987","$965,863.11 "
Direct > Direct > Paid Search,"8,843","$867,369.04 "
