Date,Algorithm
22-Jan-13,Panda #24
14-Mar-13,Panda #25
9-May-13,"""Phantom"""
22-May-13,Penguin 2.0 (#4) & Domain Crowding
11-Jun-13,"""Payday Loan"" Update"
19-Jul-13,Knowledge Graph Expansion
20-Aug-13,Hummingbird
4-Oct-13,Penguin 2.1 (#5)
6-Feb-14,Page Layout #3
19-May-14,Panda 4.0 (#26)
12-Jun-14,Payday Loan 3.0
28-Jun-14,Authorship Photo Drop
25-Jul-14,Pigeon
6-Aug-14,HTTPS/SSL Update
23-Sep-14,Panda 4.1 (#27)
17-Oct-14,Penguin 3.0
21-Oct-14,Pirate 2.0
3-May-15,Quality Update
22-Apr-15,Mobile Friendly Update
17-Jul-15,Panda 4.2
