Queries,Clicks,Impressions,CTR,Position
vaseline,21766,424808,5.12%,2.3
vaseline lip therapy,4077,26314,15.49%,1.3
vaseline petroleum jelly,3493,31349,11.14%,1.1
vaseline intensive care,2455,19381,12.67%,1.6
petroleum jelly,2342,126215,1.86%,6
vaseline spray,2290,16312,14.04%,2.6
vaseline lotion,2237,14283,15.66%,1.1
vaseline cocoa butter,1242,9718,12.78%,1.3
vaseline body lotion,1213,14835,8.18%,2.9
vaseline ingredients,944,4920,19.19%,2
dry patches on face,844,5678,14.86%,3.7
vaseline lip balm,805,5735,14.04%,1.2
vaseline men,804,6568,12.24%,3
vaseline products,786,3985,19.72%,1.1
vaseline spray lotion,703,3880,18.12%,1.1
vaseline spray and go,686,7021,9.77%,2.2
what is vaseline,659,4089,16.12%,2
vaseline cocoa radiant,623,3511,17.74%,1.2
vaseline rosy lips,620,5121,12.11%,1.2
vaseline lip therapy rosy lips,544,3876,14.04%,1.1
vaseline on face,541,6915,7.82%,5.3
vaseline for acne,478,1673,28.57%,2.2
what is petroleum jelly,425,7587,5.60%,4.4
vasaline,424,13389,3.17%,2.2
vaseline cream,399,3479,11.47%,1.2
vaseline for men,376,1819,20.67%,1.3
vaseline moisturizer,361,2478,14.57%,1
dry skin around eyes,358,4534,7.90%,6.6
vaseline lip,349,2648,13.18%,1.2
vaseline healing serum,349,983,35.50%,1
vaseline under eyes,321,2273,14.12%,2.5
vasline,304,7173,4.24%,2.1
vaseline acne,304,1377,22.08%,2
vaseline total moisture,303,2536,11.95%,1.8
vaseline cocoa glow,295,2378,12.41%,1.7
vaseline intensive care spray,288,2374,12.13%,2.2
vaseline aloe fresh,286,2943,9.72%,1.5
vaseline jelly,280,2759,10.15%,1.1
vaseline for lips,277,2506,11.05%,1.5
vaseline lip therapy ingredients,276,553,49.91%,1.1
dry skin patches on face,275,1590,17.30%,6.5
what is vaseline used for,271,2892,9.37%,3.1
vaseline lip therapy review,269,2324,11.57%,2.9
vaseline serum,266,2797,9.51%,2.2
spray lotion,262,2622,9.99%,1
vaseline intensive care cocoa radiant,257,1346,19.09%,1.2
what is vaseline made of,246,1323,18.59%,1.9
vaseline on lips,245,2911,8.42%,2
vaseline for face,239,3116,7.67%,6
what is petroleum jelly made of,226,1039,21.75%,2
vaseline pure petroleum jelly,226,1705,13.26%,1.9
vaseline spray moisturiser,214,1434,14.92%,1.7
vaseline usa,213,540,39.44%,1
