Name,Parent,Primary,Secondary,Social
Keyword,,,,
acs solutions,Misc,170,0.03,
acs transport solutions inc,Transport,40,0.37,
all electronic tolling,Tolls,50,0.05,
boston transportation department,Transport,720,0.01,
boston transportation dept,Transport,30,0.03,
business solutions transport,Transport,170,0.48,
colection etc,Tolls,40,0.26,
collection ect,Tolls,390,0.16,
collection etc,Tolls,4400,0.24,
commercial transportation,Transport,140,0.09,
commercial vehicle services,Commercial,30,0.41,
electronic toll,Tolls,40,0.04,
electronic toll collection,Tolls,140,0.08,
electronic tolling,Tolls,20,0.06,
go green transportation,Transport,50,0.15,
government transportation,Transport,50,0.3,
green public transportation,Transport,20,0.03,
intelligent parking systems,Parking,210,0.28,
motor vehicle admin,Misc,20,0.03,
motor vehicle solutions,Misc,260,0.2,
motor vehicle transport,Transport,10,0.92,
parking management solutions,Parking,20,0.9,
parking management system,Parking,50,0.94,
parking management systems,Parking,30,0.92,
parking solutions,Parking,880,0.45,
red light management jobs,Misc,90,0.02,
revenue services,Misc,260,0.12,
smart parking,Parking,390,0.14,
smart parking meter,Parking,30,0.23,
smart parking system,Parking,50,0.52,
smartparking,Parking,30,0.14,
toll collection,Tolls,30,0.06,
tolling,Tolls,1600,0.01,
transit management,Transport,20,0.08,
transportation management solutions,Transport,70,0.87,
transportation solution,Transport,20,0.28,
transportation solutions,Transport,480,0.38,
transportation solutions group,Transport,390,0.14,
transportation solutions inc,Transport,70,0.2,
xerox commercial,Brand,110,0.28,
xerox soluti,Brand,30,0.19,
xerox solutions,Brand,170,0.18,
xerox solutions collection,Brand,30,0.09,
Misc,Keyword,,,1209
Transport,Keyword,,,800
Tolls,Keyword,,,2098
Commercial,Keyword,,,3002
Parking,Keyword,,,893
Brand,Keyword,,,271
