Date,Algorithm
19-Jan-12,Ads Above The Fold
27-Feb-12,Venice
23-Mar-12,Panda 3.4 (#12)
24-Apr-12,Penguin
16-May-12,Knowledge Graph
25-May-12,Penguin 1.1 (#2)
8-Jun-12,Panda 3.7 (#15)
25-Jun-12,Panda 3.8 (#16)
24-Jul-12,Panda 3.9 (#17)
14-Aug-12,7-Result SERPs
20-Aug-12,Panda 3.9.1 (#18)
18-Sep-12,Panda 3.9.2 (#19)
27-Sep-12,Exact-Match Domain (EMD) Update
9-Oct-12,Page Layout #2 & Penguin 3
5-Nov-12,Panda #21
21-Nov-12,Panda #22
4-Dec-12,Knolwedge Graph Expansion
21-Dec-12,Panda #23
22-Jan-13,Panda #24
14-Mar-13,Panda #25
9-May-13,"""Phantom"""
22-May-13,Penguin 2.0 (#4) & Domain Crowding
11-Jun-13,"""Payday Loan"" Update"
19-Jul-13,Knowledge Graph Expansion
20-Aug-13,Hummingbird
4-Oct-13,Penguin 2.1 (#5)
6-Feb-14,Page Layout #3
19-May-14,Panda 4.0 (#26)
12-Jun-14,Payday Loan 3.0
28-Jun-14,Authorship Photo Drop
25-Jul-14,Pigeon
6-Aug-14,HTTPS/SSL Update
23-Sep-14,Panda 4.1 (#27)
17-Oct-14,Penguin 3.0
21-Oct-14,Pirate 2.0
