Date,Visits
28-Oct-12,"158,079"
29-Oct-12,"113,301"
30-Oct-12,"109,591"
31-Oct-12,"88,020"
1-Nov-12,"108,792"
2-Nov-12,"117,265"
3-Nov-12,"123,140"
4-Nov-12,"140,182"
5-Nov-12,"123,904"
6-Nov-12,"107,348"
7-Nov-12,"116,708"
8-Nov-12,"125,898"
9-Nov-12,"125,512"
10-Nov-12,"123,783"
11-Nov-12,"140,745"
12-Nov-12,"145,842"
13-Nov-12,"135,181"
14-Nov-12,"135,481"
15-Nov-12,"135,954"
16-Nov-12,"133,847"
17-Nov-12,"141,189"
18-Nov-12,"164,284"
19-Nov-12,"169,123"
20-Nov-12,"185,452"
21-Nov-12,"189,603"
22-Nov-12,"255,195"
23-Nov-12,"422,290"
24-Nov-12,"261,601"
25-Nov-12,"280,718"
26-Nov-12,"355,172"
27-Nov-12,"221,399"
28-Nov-12,"218,098"
29-Nov-12,"217,694"
30-Nov-12,"222,605"
1-Dec-12,"222,500"
2-Dec-12,"233,404"
3-Dec-12,"230,374"
4-Dec-12,"215,199"
5-Dec-12,"215,419"
6-Dec-12,"213,326"
7-Dec-12,"218,947"
8-Dec-12,"250,095"
9-Dec-12,"272,578"
10-Dec-12,"280,911"
11-Dec-12,"252,807"
12-Dec-12,"248,249"
13-Dec-12,"252,449"
14-Dec-12,"238,099"
15-Dec-12,"253,690"
16-Dec-12,"277,096"
17-Dec-12,"281,741"
18-Dec-12,"253,407"
19-Dec-12,"243,339"
20-Dec-12,"239,627"
21-Dec-12,"244,637"
22-Dec-12,"220,084"
23-Dec-12,"214,679"
24-Dec-12,"171,239"
25-Dec-12,"114,086"
26-Dec-12,"185,102"
27-Dec-12,"158,013"
28-Dec-12,"144,803"
29-Dec-12,"134,083"
30-Dec-12,"134,321"
31-Dec-12,"108,429"
1-Jan-13,"118,297"
2-Jan-13,"123,266"
3-Jan-13,"118,070"
4-Jan-13,"116,869"
5-Jan-13,"118,990"
6-Jan-13,"116,852"
7-Jan-13,"107,510"
8-Jan-13,"103,998"
9-Jan-13,"104,788"
10-Jan-13,"103,766"
11-Jan-13,"105,560"
12-Jan-13,"107,383"
13-Jan-13,"111,996"
14-Jan-13,"107,582"
15-Jan-13,"108,556"
16-Jan-13,"113,551"
17-Jan-13,"105,842"
18-Jan-13,"105,362"
19-Jan-13,"106,679"
20-Jan-13,"117,304"
21-Jan-13,"117,024"
22-Jan-13,"103,763"
23-Jan-13,"103,068"
24-Jan-13,"102,241"
25-Jan-13,"106,161"
26-Jan-13,"108,484"
27-Jan-13,"174,166"
28-Jan-13,"123,177"
29-Jan-13,"109,179"
30-Jan-13,"114,299"
31-Jan-13,"120,019"
1-Feb-13,"116,825"
2-Feb-13,"125,155"
3-Feb-13,"119,805"
4-Feb-13,"127,641"
5-Feb-13,"125,675"
6-Feb-13,"125,844"
7-Feb-13,"121,029"
8-Feb-13,"122,782"
9-Feb-13,"120,235"
10-Feb-13,"131,389"
11-Feb-13,"127,781"
12-Feb-13,"120,271"
13-Feb-13,"115,694"
14-Feb-13,"101,130"
15-Feb-13,"112,935"
16-Feb-13,"119,114"
17-Feb-13,"134,109"
18-Feb-13,"141,698"
19-Feb-13,"118,023"
20-Feb-13,"114,485"
21-Feb-13,"111,098"
22-Feb-13,"111,052"
23-Feb-13,"114,886"
24-Feb-13,"127,627"
25-Feb-13,"129,049"
26-Feb-13,"121,560"
27-Feb-13,"123,228"
28-Feb-13,"129,184"
1-Mar-13,"119,799"
2-Mar-13,"121,623"
3-Mar-13,"126,206"
4-Mar-13,"122,109"
5-Mar-13,"119,582"
6-Mar-13,"120,667"
7-Mar-13,"116,645"
8-Mar-13,"124,249"
9-Mar-13,"118,507"
10-Mar-13,"120,962"
11-Mar-13,"122,799"
12-Mar-13,"115,212"
13-Mar-13,"118,060"
14-Mar-13,"119,946"
15-Mar-13,"125,477"
16-Mar-13,"125,627"
17-Mar-13,"132,156"
18-Mar-13,"132,698"
19-Mar-13,"126,601"
20-Mar-13,"127,065"
21-Mar-13,"120,748"
22-Mar-13,"114,507"
23-Mar-13,"114,584"
24-Mar-13,"125,693"
25-Mar-13,"134,133"
26-Mar-13,"125,440"
27-Mar-13,"126,695"
28-Mar-13,"121,622"
29-Mar-13,"118,344"
30-Mar-13,"100,143"
31-Mar-13,"88,066"
1-Apr-13,"101,132"
2-Apr-13,"101,161"
3-Apr-13,"100,699"
4-Apr-13,"97,970"
5-Apr-13,"96,464"
6-Apr-13,"93,012"
7-Apr-13,"105,755"
8-Apr-13,"113,990"
9-Apr-13,"110,443"
10-Apr-13,"104,413"
11-Apr-13,"98,412"
12-Apr-13,"107,100"
13-Apr-13,"97,864"
14-Apr-13,"106,551"
15-Apr-13,"104,970"
16-Apr-13,"101,463"
17-Apr-13,"104,265"
18-Apr-13,"100,843"
19-Apr-13,"92,374"
20-Apr-13,"93,089"
21-Apr-13,"95,025"
22-Apr-13,"95,857"
23-Apr-13,"93,621"
24-Apr-13,"99,921"
25-Apr-13,"93,144"
26-Apr-13,"101,085"
27-Apr-13,"93,571"
28-Apr-13,"102,138"
29-Apr-13,"117,493"
30-Apr-13,"115,260"
1-May-13,"115,238"
2-May-13,"122,365"
3-May-13,"122,050"
4-May-13,"113,109"
5-May-13,"106,808"
6-May-13,"111,566"
7-May-13,"106,128"
8-May-13,"112,792"
9-May-13,"106,587"
10-May-13,"113,273"
11-May-13,"100,440"
12-May-13,"90,947"
13-May-13,"109,951"
14-May-13,"106,791"
15-May-13,"101,675"
16-May-13,"97,250"
17-May-13,"93,412"
18-May-13,"82,275"
19-May-13,"90,934"
20-May-13,"98,588"
21-May-13,"96,437"
22-May-13,"106,778"
23-May-13,"106,973"
24-May-13,"103,517"
25-May-13,"93,953"
26-May-13,"92,987"
27-May-13,"108,297"
28-May-13,"103,696"
29-May-13,"99,954"
30-May-13,"101,917"
31-May-13,"92,093"
1-Jun-13,"81,709"
2-Jun-13,"91,372"
3-Jun-13,"99,239"
4-Jun-13,"95,613"
5-Jun-13,"96,730"
6-Jun-13,"105,332"
7-Jun-13,"108,268"
8-Jun-13,"93,711"
9-Jun-13,"97,360"
10-Jun-13,"106,443"
11-Jun-13,"99,102"
12-Jun-13,"94,829"
13-Jun-13,"95,076"
14-Jun-13,"90,674"
15-Jun-13,"77,453"
16-Jun-13,"77,494"
17-Jun-13,"93,367"
18-Jun-13,"89,032"
19-Jun-13,"81,542"
20-Jun-13,"79,926"
21-Jun-13,"79,926"
22-Jun-13,"67,624"
23-Jun-13,"73,611"
24-Jun-13,"86,745"
25-Jun-13,"85,391"
26-Jun-13,"85,702"
27-Jun-13,"82,398"
28-Jun-13,"78,813"
29-Jun-13,"70,503"
30-Jun-13,"79,462"
1-Jul-13,"86,435"
2-Jul-13,"84,810"
3-Jul-13,"80,362"
4-Jul-13,"65,005"
5-Jul-13,"78,859"
6-Jul-13,"72,992"
7-Jul-13,"78,793"
8-Jul-13,"82,304"
9-Jul-13,"80,816"
10-Jul-13,"77,745"
11-Jul-13,"76,962"
12-Jul-13,"77,468"
13-Jul-13,"68,835"
14-Jul-13,"73,958"
15-Jul-13,"84,241"
16-Jul-13,"81,572"
17-Jul-13,"82,980"
18-Jul-13,"81,499"
19-Jul-13,"80,761"
20-Jul-13,"72,341"
21-Jul-13,"78,374"
22-Jul-13,"87,785"
23-Jul-13,"91,141"
24-Jul-13,"85,364"
25-Jul-13,"86,232"
26-Jul-13,"83,036"
27-Jul-13,"74,993"
28-Jul-13,"81,664"
29-Jul-13,"92,997"
30-Jul-13,"92,628"
31-Jul-13,"96,807"
1-Aug-13,"94,842"
2-Aug-13,"102,139"
3-Aug-13,"93,389"
4-Aug-13,"92,515"
5-Aug-13,"101,965"
6-Aug-13,"96,249"
7-Aug-13,"94,303"
8-Aug-13,"96,165"
9-Aug-13,"96,828"
10-Aug-13,"84,584"
11-Aug-13,"94,362"
12-Aug-13,"98,825"
13-Aug-13,"96,159"
14-Aug-13,"95,159"
15-Aug-13,"91,208"
16-Aug-13,"93,071"
17-Aug-13,"84,792"
18-Aug-13,"91,077"
19-Aug-13,"95,099"
20-Aug-13,"87,287"
21-Aug-13,"82,697"
22-Aug-13,"81,304"
23-Aug-13,"79,896"
