Day,Cost
1/1/2015,"4,306"
1/2/2015,"4,079"
1/3/2015,"4,679"
1/4/2015,"5,692"
1/5/2015,"5,644"
1/6/2015,"5,525"
1/7/2015,"5,502"
1/8/2015,"5,373"
1/9/2015,"3,901"
1/10/2015,"4,213"
1/11/2015,"5,467"
1/12/2015,"5,621"
1/13/2015,"5,322"
1/14/2015,"5,151"
1/15/2015,"4,810"
1/16/2015,"3,815"
1/17/2015,"4,042"
1/18/2015,"5,222"
1/19/2015,"5,275"
1/20/2015,"5,206"
1/21/2015,"5,090"
1/22/2015,"4,628"
1/23/2015,"3,793"
1/24/2015,"4,445"
1/25/2015,"5,388"
1/26/2015,"5,571"
1/27/2015,"5,580"
1/28/2015,"5,067"
1/29/2015,"4,942"
1/30/2015,"4,152"
1/31/2015,"5,208"
2/1/2015,"6,223"
2/2/2015,"5,068"
2/3/2015,"4,818"
2/4/2015,"4,871"
2/5/2015,"4,525"
2/6/2015,"3,495"
2/7/2015,"3,757"
2/8/2015,"5,165"
2/9/2015,"5,189"
2/10/2015,"4,881"
2/11/2015,"4,272"
2/12/2015,"4,358"
2/13/2015,"3,297"
2/14/2015,"3,886"
2/15/2015,"4,656"
2/16/2015,"4,993"
2/17/2015,"4,682"
2/18/2015,"4,284"
2/19/2015,"4,356"
2/20/2015,"3,393"
2/21/2015,"2,723"
2/22/2015,"3,184"
2/23/2015,"3,794"
2/24/2015,"3,914"
2/25/2015,"4,140"
2/26/2015,"4,002"
2/27/2015,"3,371"
2/28/2015,"3,665"
3/1/2015,"4,752"
3/2/2015,"4,423"
3/3/2015,"4,699"
3/4/2015,"4,679"
3/5/2015,"4,631"
3/6/2015,"3,860"
3/7/2015,"3,845"
3/8/2015,"4,398"
3/9/2015,"4,854"
3/10/2015,"4,826"
3/11/2015,"4,331"
3/12/2015,"3,761"
3/13/2015,"3,450"
3/14/2015,"3,199"
3/15/2015,"3,775"
3/16/2015,"3,528"
3/17/2015,"3,480"
3/18/2015,"3,923"
3/19/2015,"3,650"
3/20/2015,"3,060"
3/21/2015,"3,374"
3/22/2015,"3,936"
3/23/2015,"4,388"
3/24/2015,"8,632"
3/25/2015,"8,826"
3/26/2015,"8,838"
3/27/2015,"7,337"
3/28/2015,"9,006"
3/29/2015,"12,144"
3/30/2015,"10,293"
3/31/2015,"9,890"
4/1/2015,"9,782"
4/2/2015,"9,179"
4/3/2015,"10,883"
4/4/2015,"19,744"
4/5/2015,"13,942"
4/6/2015,"8,267"
4/7/2015,"8,195"
4/8/2015,"8,303"
4/9/2015,"8,013"
4/10/2015,"7,069"
4/11/2015,"8,611"
4/12/2015,"11,022"
4/13/2015,"9,410"
4/14/2015,"8,764"
4/15/2015,"8,533"
4/16/2015,"8,450"
4/17/2015,"7,606"
4/18/2015,"9,020"
4/19/2015,"10,563"
4/20/2015,"9,436"
4/21/2015,"8,873"
4/22/2015,"8,577"
4/23/2015,"7,844"
4/24/2015,"6,903"
4/25/2015,"8,304"
4/26/2015,"10,165"
4/27/2015,"9,260"
4/28/2015,"8,619"
4/29/2015,"8,225"
4/30/2015,"7,812"
5/1/2015,"7,560"
5/2/2015,"9,571"
5/3/2015,"11,594"
5/4/2015,"9,518"
5/5/2015,"8,456"
5/6/2015,"8,711"
5/7/2015,"8,948"
5/8/2015,"8,825"
5/9/2015,"13,152"
5/10/2015,"12,645"
5/11/2015,"9,369"
5/12/2015,"9,282"
5/13/2015,"8,966"
5/14/2015,"8,651"
5/15/2015,"8,334"
5/16/2015,"11,298"
5/17/2015,"13,827"
5/18/2015,"11,692"
5/19/2015,"10,936"
5/20/2015,"10,590"
5/21/2015,"10,110"
5/22/2015,"10,620"
5/23/2015,"18,947"
5/24/2015,"26,459"
5/25/2015,"25,399"
