Domain,Sum of Estimated Clicks,Position
,114.9,2.076923076923077
digitaldealer.com,44.5,19.0
diagnose-me.com,5.0,13.285714285714286
whatclinic.com,0.6,5.0
chop.edu,2.3000000000000007,19.153846153846153
horniman.ac.uk,25.6,4.0
totalhealth.co.uk,0.1,19.0
freshairsystems.com,1.7000000000000002,4.0
alessonneverlearned2.blogspot.com,1.0,16.5
littletreasuresmag.co.nz,0.4,19.0
jet.com,4.7,16.25
vegetarian.about.com,10.799999999999999,12.333333333333334
dailymed.nlm.nih.gov,377.4000000000001,11.618320610687023
foss2serve.org,0.0,17.0
eastbournefocus.com,0.0,11.0
messymandella.com,0.6,5.0
susiealice.wordpress.com,0.8,4.0
synergytanbrands.com,0.1,16.0
simple.co.uk,12.7,9.8
thelaughingclam1996.com,0.5,18.0
juicebeauty.com,0.5,6.0
houseplantsexpert.com,6.6000000000000005,10.5
community.tasteofhome.com,0.30000000000000004,17.0
schuh.co.uk,231.7999999999999,9.892857142857142
eg.bkam.com,0.5,6.0
nazih.com,0.3,11.0
quit.org.au,0.2,10.0
zip-codes.com,25.300000000000004,2.5
therapists.psychologytoday.com,1.7000000000000002,13.666666666666666
newlyvain.blogspot.com,0.30000000000000004,11.0
anme.com.mx,0.5,18.0
leadership.samsbiz.com,1.1,3.0
mightyadvice.com,7.000000000000001,2.0
gentlecosmetics.co.uk,38.0,8.0
dealsmealsreelsheelsandspiels.blogspot.com,0.5,15.0
ksuweb.kennesaw.edu,0.2,18.0
drugs-forum.com,1.2,13.333333333333334
qianmiaonuo.en.made-in-china.com,5.699999999999999,3.5
naturalhoney.es,0.2,12.0
christies.com,0.4,13.0
wheretoget.it,17.599999999999998,8.0
flouronmyface.com,0.1,16.0
jewishworldreview.com,1.9000000000000001,16.0
temporarywaffle.blogspot.com,0.1,18.0
tips-cara.info,3.5000000000000004,12.6
askdoctork.com,16.0,13.5
consiglioskitchenware.com,0.2,15.0
myhealingplacechurch.com,2.1,18.0
natashaskitchen.com,49.1,7.538461538461538
beauty.lovelyish.com,0.6000000000000001,16.0
manyadventuresofalex.blogspot.com,5.1,16.083333333333332
horseproblems.com.au,0.3,17.0
kulitputihalami.info,2.3000000000000003,14.0
livingprettynaturally.com,0.7000000000000001,14.0
longhaircareforum.com,17.500000000000004,10.434782608695652
eqc.state.wy.us,0.1,13.0
chacha.com,4.5,11.090909090909092
lifehacker.co.in,0.7000000000000001,14.333333333333334
entnet.org,4.3999999999999995,14.333333333333334
ocw.mit.edu,5.499999999999999,10.5
expedia.com,2.5,10.666666666666666
woodrock.com,1.7,19.0
slideplayer.com,0.2,10.0
thehealingcenter.org,389.79999999999995,3.625
simplebites.net,0.30000000000000004,15.0
smart-tbk.com,0.5,16.0
sprayman.net,3.4,9.0
tattoo.about.com,1.4000000000000001,8.0
sustaincreateandflow.com,1.7999999999999998,9.0
naturalfacialcares.blogspot.com,0.8,4.0
springofautumn.blogspot.com,0.3,16.0
kimkimshop.com,13.5,9.25
johnsonsprofessional.com,0.6,10.0
pinchalittlesavealot.blogspot.com,0.2,13.0
raisingchildren.net.au,0.7000000000000001,14.333333333333334
simonhilton.co.uk,1.1,10.5
community.breastcancer.org,21.8,9.142857142857142
kijiji.ca,0.2,18.5
healthy-homemakers.com,0.2,16.0
wiggle.co.uk,0.30000000000000004,14.666666666666666
daintyflair.net,0.3,13.0
muirwoodteen.com,5.0,1.0
country-tips.com,0.1,20.0
clozette.co.id,0.1,14.0
io9.com,1.0,6.0
tswiftnation.tumblr.com,95.0,6.0
indiafreestuff.in,0.2,17.0
sell.pakuya.com,1.8,6.5
skinglowingtips.blogspot.com,0.2,20.0
petedge.com,0.1,19.0
en.musicplayon.com,6.8,6.5
begreenbathandbody.com,0.1,19.0
stopnshopdeals.com,0.2,19.0
confessionsofasarcasticmom.com,0.6000000000000001,16.333333333333332
hisboyscanswim.com,11.5,7.666666666666667
quotev.com,1.3,15.0
keratosispilarisonface.wordpress.com,1.6,12.333333333333334
refinedandpolished.com,0.1,15.0
canesten.com.au,2.2,5.5
sillypearl.com,0.3,19.0
ayusunless.com,1.1,10.5
beautydrama.com,0.2,14.5
ivillage.ca,1.3000000000000003,14.75
sjogrens.org,59.6,7.357142857142857
inova.org,2.6,16.0
soapequipment.com,0.1,20.0
unileverme.com,80.60000000000001,10.68421052631579
pantene.com,3.0000000000000004,16.666666666666668
enkivillage.com,1930.6000000000001,10.408602150537634
members.makeupandbeauty.com,0.1,18.0
whereorg.com,0.1,19.0
drymouth.info,1.1,15.0
weusecoupons.com,2.5,1.0
claritypharmacy.com,6.6,5.0
forum.blackhairplanet.com,0.3,19.0
skincare-news.com,4.7,12.857142857142858
ttd.kraftbrands.com,0.2,9.0
beautyandhealth-info.blogspot.com,0.3,16.0
thetimelessbeauty.com,0.1,19.0
prettythrifty.com,83.3,3.5
duchesskimberly.com,0.1,20.0
healingheartissues.com,4.8,10.666666666666666
cocobeachtans.com,0.4,10.0
sks-bottle.com,60.49999999999999,5.384615384615385
articles.mercola.com,309.7999999999999,10.26923076923077
augustaceo.com,0.1,19.0
d2x0pdkurxy12j.cloudfront.net,0.0,7.0
cobaltmed.com,0.1,12.0
esteelauder.com,24.6,13.7
townhousepalette.com,1.5,16.333333333333332
vaselineglass.org,1.4,12.777777777777779
esteelauder.co.uk,0.1,20.0
acnescarprevention.com,162.59999999999997,7.296296296296297
expertlaw.com,0.2,9.0
amamasrant.com,0.5,20.0
nikkietutorials.com,8.600000000000001,11.75
en.allexperts.com,0.30000000000000004,13.5
watertownmattress.com,1.4000000000000001,2.0
beckybedbug.com,0.4,12.0
juicebaraustin.com,18.7,3.0
thepinkwhisk.co.uk,2.6,16.0
shoutofvictory.org,1.1,16.0
freedownloads2015.com,0.6000000000000001,16.0
coilybella.com,0.1,15.0
head-fi.org,0.8,4.0
joygm.com,0.0,5.0
soyoufound.me,0.6,14.5
deluxemall.com,22.0,2.6
rudegal.com,0.1,15.0
oven.ly,0.7000000000000001,18.0
eatingbirdfood.com,11.400000000000002,11.333333333333334
armadillopeppers.com,0.2,10.0
community.sparknotes.com,8.9,4.666666666666667
lindsayrunning.wordpress.com,8.1,5.5
fixya.com,0.4,11.0
newyorkbabyshow.com,0.4,20.0
earlycare.org,616.4000000000001,3.0
bete.com,2.6,18.0
theopsdeck.com,0.2,9.0
nutritionalhealthstore.co.uk,0.1,14.0
efarma.lt,0.2,8.0
babyuniversity.com,0.2,11.0
mcdermottfootcare.com,136.79999999999998,10.11111111111111
mrswheelbarrow.com,0.1,15.0
hadermalfiller.com,20.8,4.0
hellawella.com,14.9,5.75
aloeveraforhealth.com,1.4000000000000001,13.0
vapedemand.com,0.8999999999999999,7.0
in-cosmeticsbrasil.com,0.2,12.0
livescience.com,4429.799999999998,9.083333333333334
un-ruly.com,0.4,14.333333333333334
nature.com,0.7,14.8
us.riverisland.com,0.5,18.666666666666668
glamoclock.com,0.2,10.0
notsoapradio.com,0.1,19.0
thecocoabean.net,0.1,15.0
salicylatesensitivity.com,1.6,4.0
allpricetags.com,0.0,13.0
fashiontrendspk.com,1.0,7.5
babble.com,49.70000000000001,13.34
coimbatore.locanto.in,0.2,12.0
ask.com,56.40000000000003,13.112903225806452
nzherald.co.nz,0.8,9.0
americanotc.com,1.2999999999999998,12.5
coffeelightandsweet.com,2.6999999999999997,7.0
wkyt.com,0.4,13.0
essendonfootclinic.com.au,0.2,19.0
veganbeautyreview.com,18.0,10.75
webhealthsolution.com,15.099999999999998,12.666666666666666
flexjobs.com,1.4000000000000001,18.0
memebase.cheezburger.com,0.1,20.0
ruraldream.wordpress.com,0.1,20.0
grants.gov,0.1,14.0
ovrhd.com,1.0,12.0
hyperhidrosis-usa.com,0.4,11.0
raleighaa.com,5.2,9.0
ultimatealoeskincare.com,0.7,12.0
consumer-manual.com,1.3,11.5
lovelybike.blogspot.com,0.1,14.0
noahlaith.com,0.4,16.0
agrlcanmac.com,1.2000000000000002,11.5
bakingdom.com,3.9,15.0
transforminghealth.org,2.6,13.333333333333334
babygizmo.com,0.1,18.0
cybelesays.com,1.7999999999999998,5.0
houseoffraser.co.uk,2.3000000000000007,14.625
beg.utexas.edu,0.1,19.0
mccabespharmacy.com,3.0,5.0
getauto.com,0.1,17.0
auravita.com,7.100000000000001,10.571428571428571
morningstar.com,1.9,14.5
archive.azcentral.com,0.4,17.5
virtuesofbeauty.wordpress.com,12.600000000000001,2.0
gel-aloe.com,28.1,5.25
stylingdutchman.blogspot.com,6.9,9.666666666666666
soapnuts.com,16.799999999999997,15.8
definingconservatismbook.com,0.5,15.333333333333334
foot-health-forum.com,2.6,10.0
simplyposhbeauty.com,0.7000000000000001,17.0
nailfungusconsumerreview.com,3.5000000000000004,7.75
denisegaskins.com,0.1,15.0
rachaelraymag.com,12.399999999999999,4.0
euromonitor.com,0.1,17.0
osti.gov,0.7,12.0
heart.no-ip.com,0.0,8.0
ultimatesuperfoods.com,1.8,12.75
food.com,434.3,9.056603773584905
consumeraffairs.com,7.1,11.0
cetaphil.com,567.6999999999998,9.770992366412214
m-beauty24.de,0.6,5.0
candleandsoap.about.com,0.6000000000000001,12.5
classicalguitar.org,0.1,15.0
thehealingcodes.co.uk,4.8,16.0
csspakistan.com,30.8,7.0
onboces.org,159.0,3.9375
pricespy.co.uk,0.6,10.5
shop.liveleantoday.com,2.2,5.5
thewallyworldwoman.com,1.3000000000000003,16.5
flipkart.com,198.49999999999966,11.618320610687023
gq-magazine.co.uk,158.4,5.518518518518518
groomingformen.net,0.2,13.5
maharashtrapost.gov.in,0.1,16.0
prettypotion.wordpress.com,0.5,14.0
makeupobsessed-beauty.blogspot.com,0.2,15.0
kaskii.wordpress.com,7.4,9.5
academy.com,0.2,14.5
medicalsuccess.net,1.6,8.5
dontmesswithmama.com,1.5,12.0
africaimports.com,0.1,20.0
safeskin.org,0.3,14.0
desiblitz.com,0.1,12.0
packagingoftheworld.com,0.2,8.0
wallpaperswide.com,396.0,3.0
airbrushmakeupsalon.com,0.1,15.0
listovative.com,11.100000000000001,3.3333333333333335
mycoco.life,0.3,15.0
mrkigo.sakura.ne.jp,0.2,14.166666666666666
greensquarecenter.com,0.9,15.0
therawtarian.com,23.1,3.0
in110060005.fm.alibaba.com,0.1,13.0
omghow.com,5.5,16.0
sites.psu.edu,3869.2999999999997,7.5
ranken-energy.com,10.600000000000001,6.0
