MCF Channel Grouping Path,Conversions,Conversion Value
Organic Search > Direct,259,$0.00
Paid Search > Paid Search,161,$0.00
Organic Search > Paid Search,97,$0.00
Organic Search > Organic Search,89,$0.00
Paid Search > Direct,80,$0.00
Paid Search > Organic Search,67,$0.00
Direct > Direct,66,$0.00
Organic Search > Direct > Direct,53,$0.00
Direct > Paid Search,42,$0.00
Paid Search > Paid Search > Paid Search,27,$0.00
Direct > Organic Search,22,$0.00
Direct > Direct > Direct,19,$0.00
Organic Search > Direct > Direct > Direct,16,$0.00
Paid Search > Direct > Direct,15,$0.00
Organic Search > Organic Search > Direct,14,$0.00
Organic Search > Paid Search > Paid Search,12,$0.00
Organic Search > Direct > Organic Search,10,$0.00
Organic Search > Organic Search > Organic Search,10,$0.00
Paid Search > Organic Search > Paid Search,6,$0.00
Organic Search > Paid Search > Organic Search,6,$0.00
Paid Search > Paid Search > Paid Search > Paid Search,5,$0.00
Paid Search > Paid Search > Organic Search,5,$0.00
Direct > Direct > Direct > Direct,5,$0.00
Direct > Direct > Organic Search,5,$0.00
Social Network > Direct,5,$0.00
Paid Search > Paid Search > Direct,4,$0.00
Paid Search > Organic Search > Direct,4,$0.00
Direct > (unavailable),4,$0.00
Organic Search > Direct > Direct > Direct > Direct,4,$0.00
Social Network > Direct > Direct,4,$0.00
Paid Search > Direct > Paid Search,3,$0.00
Paid Search > Direct > Direct > Direct,3,$0.00
Paid Search > Paid Search > Paid Search > Direct,3,$0.00
Paid Search > Organic Search > Paid Search > Paid Search,3,$0.00
Direct > Paid Search > Paid Search,3,$0.00
Direct > Organic Search > Direct > Direct,3,$0.00
Organic Search > Direct > Paid Search,3,$0.00
Organic Search > Direct > Direct > Organic Search,3,$0.00
Organic Search > Paid Search > Direct,3,$0.00
Organic Search > Organic Search > Paid Search,3,$0.00
Social Network > Social Network,3,$0.00
Paid Search > Direct > Direct > Paid Search,2,$0.00
Paid Search > Direct > Organic Search,2,$0.00
Paid Search > Organic Search > Organic Search,2,$0.00
Direct > Direct > Direct > Paid Search,2,$0.00
Direct > Direct > Direct > Direct > Direct,2,$0.00
Direct > Direct > Direct > Direct > Direct > Direct,2,$0.00
Direct > Paid Search > Direct,2,$0.00
Direct > Paid Search > Direct > Direct,2,$0.00
Direct > Organic Search > Paid Search,2,$0.00
Direct > Organic Search > Direct,2,$0.00
Email > Direct,2,$0.00
Email > Organic Search,2,$0.00
Organic Search > Direct > Direct > Organic Search > Direct,2,$0.00
Organic Search > Direct > Organic Search > Direct > Direct,2,$0.00
Organic Search > Paid Search > Paid Search > Paid Search,2,$0.00
Organic Search > Paid Search > Organic Search > Direct > Direct,2,$0.00
Organic Search > Organic Search > Organic Search > Direct,2,$0.00
Social Network > Paid Search,2,$0.00
Paid Search > Direct > Paid Search > Paid Search,1,$0.00
Paid Search > Direct > Paid Search > Organic Search,1,$0.00
Paid Search > Direct > Direct > Direct > Direct,1,$0.00
Paid Search > Direct > Direct > Direct > Direct > Direct,1,$0.00
Paid Search > Direct > Direct > Direct > Direct > Direct > Direct > Organic Search,1,$0.00
Paid Search > Direct > Direct > Organic Search,1,$0.00
Paid Search > Direct > Direct > Organic Search > Direct,1,$0.00
Paid Search > Direct > Organic Search > Direct > Direct,1,$0.00
Paid Search > Paid Search > Direct > Direct,1,$0.00
Paid Search > Paid Search > Direct > Paid Search,1,$0.00
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Direct > Direct > Paid Search > Paid Search > Paid Search > Paid Search > Organic Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Direct > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Direct > Paid Search > Paid Search > Paid Search > Direct > Paid Search > Paid Search > Direct > Paid Search > Paid Search > Organic Search > Direct > Direct,1,$0.00
